location,rep,block,plot,RIL,height
PPAC,1,2,15,RIL-4,128
PPAC,1,2,16,RIL-81,161.6
PPAC,1,3,18,RIL-66,178.4
PPAC,1,3,19,RIL-47,158.8
PPAC,1,3,20,RIL-71,165.2
PPAC,1,3,21,RIL-44,143.2
PPAC,1,3,23,RIL-62,142
PPAC,1,3,24,RIL-75,174
PPAC,1,4,25,RIL-79,142
PPAC,1,4,26,RIL-69,162
PPAC,1,4,27,RIL-56,128.8
PPAC,1,4,29,RIL-63,157.6
PPAC,1,4,30,RIL-28,126.4
PPAC,1,4,31,RIL-16,145.2
PPAC,1,4,32,RIL-67,155.2
PPAC,1,5,33,RIL-27,162.8
PPAC,1,5,34,RIL-87,172.4
PPAC,1,5,35,RIL-23,124.4
PPAC,1,5,36,RIL-7,149.6
PPAC,1,5,37,RIL-94,170.8
PPAC,1,5,38,RIL-86,124.4
PPAC,1,5,39,RIL-50,174
PPAC,1,5,40,RIL-43,182
PPAC,1,6,41,RIL-26,166.8
PPAC,1,6,42,RIL-30,192.4
PPAC,1,6,43,RIL-57,168.8
PPAC,1,6,44,RIL-41,164
PPAC,1,6,45,RIL-20,181.6
PPAC,1,6,46,RIL-74,145.2
PPAC,1,6,47,RIL-12,169.2
PPAC,1,6,48,RIL-8,167.6
PPAC,1,7,49,RIL-25,160
PPAC,1,7,50,RIL-72,166.8
PPAC,1,7,51,RIL-34,164.4
PPAC,1,7,52,RIL-55,164
PPAC,1,7,53,RIL-42,180.4
PPAC,1,7,54,RIL-3,177.6
PPAC,1,7,55,RIL-37,130
PPAC,1,7,56,RIL-36,166.4
PPAC,1,8,57,RIL-83,138.4
PPAC,1,8,58,RIL-68,169.6
PPAC,1,8,59,RIL-22,152.8
PPAC,1,8,60,RIL-11,156
PPAC,1,8,61,RIL-53,147.2
PPAC,1,8,62,RIL-91,162
PPAC,1,8,63,RIL-40,180.8
PPAC,1,8,64,RIL-1,155.6
PPAC,2,1,1,RIL-86,162.4
PPAC,2,1,3,RIL-44,153.6
PPAC,2,1,4,RIL-20,190.8
PPAC,2,1,7,RIL-81,166.8
PPAC,2,1,8,RIL-42,179.2
PPAC,2,2,9,RIL-23,116
PPAC,2,2,10,RIL-8,162
PPAC,2,2,11,RIL-75,177.2
PPAC,2,2,12,RIL-69,170.4
PPAC,2,2,13,RIL-24,167.6
PPAC,2,2,14,RIL-53,152.4
PPAC,2,2,15,RIL-72,161.6
PPAC,2,2,16,RIL-80,182.8
PPAC,2,3,17,RIL-64,132.4
PPAC,2,3,18,RIL-34,154.8
