     site  yield          wt      variety 
 251    2 0.7324   8.6443478   CO4177-305
 252    2 0.7450   8.6424425   CO4177-309
 253    2 0.9090  20.4153387     CORRIGIN
 254    2 1.0420   8.6335112 DT18883;DT36
 255    2 0.6505   8.6339466  DT68586-132
 256    2 0.9044   8.6337436  DT68726-106
 257    2 0.8598   8.6206614  DT82241-105
 258    2 0.9087   8.6337195 DT91898;SR13
 259    2 1.0280   8.4614403    EXCALIBUR
 260    2 0.9380   8.0295506      HALBERD
 261    2 0.8971   8.6450567   HW305-42-6
 262    2 0.7522   8.6336870   HW305-69-1
 263    2 0.5744  42.2697331         JANZ
 264    2 0.5011   8.1020649        K3032
 265    2 0.2962   8.1081591        K3037
 266    2 0.6191   8.6315821        K3045
 267    2 0.6634   8.6410504        K3057
 268    2 0.5770   8.1103024        K3058
 269    2 0.6640   8.5620915        K3059
 270    2 0.5350   8.6424557        M5428
 271    2 0.5361   8.6187629        M5429
 272    2 0.5033   8.6320140        M5484
 273    2 0.5785   8.6452152        M5487
 274    2 0.8194  42.6286753      MACHETE
 275    2 0.5554  42.2638865      MEERING
 276    2 0.7391   8.6331928   NR12-1-427
 277    2 0.7897   8.6330101   NR12-1-429
 278    2 0.7508   8.6448402   NR12-1-431
 279    2 0.9676   8.1088547   NR12-1-432
 280    2 0.8326   8.1165527   NR12-1-434
 281    2 0.6516   8.6306484   NR12-1-435
 282    2 0.6670   8.6497653   NR12-2-403
 283    2 0.7303   8.5653119   NR12-2-405
 284    2 0.6013   8.6436559   NR12-2-408
 285    2 0.6234   8.6435969   NR12-2-411
 286    2 0.8434   8.6447882   NR12-5-401
 287    2 0.7182   8.6450544   NR12-8-401
 288    2 0.5691   8.0854571   NR12-8-402
 289    2 0.7911   8.6441839   NR12-8-408
 290    2 0.6287   8.6430107   NR12-9-403
 291    2 0.7320   8.6331581   NR12-9-404
 292    2 0.7272   8.6311206   NR12-9-405
 293    2 0.8431   8.6336983       RAC696
 294    2 1.0150  42.7196134        SPEAR
 295    2 0.9549  40.3080502      TATIARA
 296    2 0.8698  41.4468144      TRIDENT
 297    2 0.6963   8.6336640        VF664
 298    2 0.7584   8.5660685        VH302
 299    2 0.6240   8.6314338        VH314
 300    2 0.5754   8.5480058        VH782
 301    2 0.6829   8.6191845        VI184
 302    2 0.5667   8.6408550        VI193
 303    2 0.5276   8.6442281        VI341
 304    2 0.5073   8.6302511        VI375
 305    2 0.6148   8.6449736        VI727
 306    2 0.5702   8.6452306        VI729
 307    2 0.8434   8.6452682      WI94063
 308    2 0.5856   8.6447825      WI94091
 309    2 0.8771   8.6337684      WI94098
 310    2 0.7873   8.6447577      WI95060
 311    2 0.8655   8.5639470      WI95101
 312    2 0.6153   8.6447091      WI95109
 313    2 0.7167   8.1246159      WI95112
 314    2 0.4527   8.6433961       WW2338
 315    2 0.5674   8.6449009       WW2340
 316    2 0.5945   8.6448678       WW2341
 317    2 0.6046   8.6443611       WW2422
 318    2 0.6155   8.6452809       WW2423
 319    2 0.6461   8.6452431       WW2449
 320    2 0.5269   8.5657601       WW2450
 321    2 0.5693   8.6451796       WW2451
 322    2 0.4923   8.1254926       WW2453
 323    2 0.5413   8.6453191       WW2456
 324    2 0.5449   8.6441799       WW2457
 325    2 0.5638   8.6442504       WW2519
 326    2 0.5646   8.6468883       WW2520
 327    2 0.5246   8.6424137       WW2529
 328    3 0.4993   7.4776679 (WqKPWmH*3Ag
 329    3 0.6063   1.4916918   24IBWSN005
 330    3 0.6427   1.3739172   24IBWSN006
 331    3 0.7874   1.5030853   24IBWSN012
 332    3 0.5436   1.5031095   24IBWSN185
 333    3 0.7314   1.5030923   24IBWSN222
 334    3 0.7118   1.5031221   24IBWSN228
 335    3 0.6073   1.5031576   24IBWSN267
 336    3 0.7813   1.4929398   24IBWSN288
 337    3 0.6811   1.5021096   25IBWSN001
 338    3 0.4194   1.5031612   25IBWSN067
 339    3 0.6762   1.5021237   25IBWSN070
 340    3 0.5618   1.5031245   25IBWSN243
 341    3 1.1300   1.5021072      385W108
 342    3 0.6994   1.5031052       385W89
 343    3 1.0720   1.4902603      386W327
 344    3 0.7941   1.5009860      386W372
 345    3 1.1730   1.5023144      386W373
 346    3 1.0100   1.4592023      386W443
 347    3 0.7456   1.4602484      485WW38
 348    3 0.8965   1.2369622      486W124
 349    3 0.7006   1.4929298      486W175
 350    3 1.0320   1.5031500     486WW197
 351    3 1.5970   1.5030563      487W100
 352    3 0.8125   1.3720218       487W77
 353    3 0.9051   1.5031613     83Y:1308
